,Player,* = NCAA Tournament appearance,Conference,Games,Games Started,Minutes Played Per Game,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percentage,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percentage,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percentage,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Offensive Rebounds Per Game,Defensive Rebounds Per Game,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Personal Fouls Per Game,Points Per Game, ,"Strength of ScheduleA rating of strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."
0,Louis King,Oregon,,31,28,30.4,4.8,11.0,.435,2.9,6.0,.476,1.9,4.9,.386,2.0,2.5,.785,1.3,4.2,5.5,1.3,0.9,0.2,2.1,2.5,13.5,,6.13
0,Jerome Williams,Georgetown,,68,68,28.8,4.0,7.4,.544,4.0,7.1,.558,0.0,0.3,.167,2.5,3.9,.634,,,9.3,1.4,1.6,0.4,2.3,1.8,10.5,,8.12
0,Tyler Dorsey,Oregon,,75,74,30.0,4.6,10.0,.455,2.5,5.1,.493,2.1,5.0,.416,2.9,3.9,.732,1.1,2.8,3.9,1.8,0.8,0.1,1.7,1.8,14.1,,8.51
0,Rick Fox,UNC,,140,82,22.7,4.5,8.7,.518,3.4,5.9,.580,1.1,2.8,.388,2.0,2.7,.757,,,4.2,2.3,1.4,0.3,2.4,2.9,12.2,,11.25
0,Markieff Morris,Kansas,,109,43,19.3,3.1,5.7,.553,2.8,4.8,.579,0.3,0.9,.404,1.9,2.9,.653,2.0,4.1,6.1,1.2,0.6,0.9,1.6,2.7,8.5,,7.92
0,Jamie Feick,Michigan State,,106,31,22.8,2.5,5.0,.502,2.3,4.4,.532,0.2,0.6,.294,1.4,2.4,.577,,,6.7,1.2,0.6,0.4,1.3,1.8,6.6,,8.89
0,Jeff Martin,Murray State,,117,115,35.7,7.9,15.2,.522,,,.545,,,.449,4.6,6.0,.766,,,5.7,1.8,1.1,1.1,2.4,2.3,21.2,,-1.48
0,Malcolm Delaney,Virginia Tech,,136,125,34.5,4.7,11.7,.401,2.7,6.3,.432,1.9,5.3,.363,5.3,6.3,.845,0.8,2.7,3.5,4.0,1.3,0.2,2.8,2.7,16.6,,6.21
0,Terrell Brandon,Oregon,,57,28,38.2,8.1,16.8,.484,6.7,13.1,.513,1.4,3.7,.380,4.5,5.5,.810,,,3.6,5.5,2.0,0.1,3.6,2.1,22.2,,9.29
0,Markelle Fultz,Washington,,25,25,35.7,8.4,17.6,.476,6.3,12.5,.502,2.1,5.0,.413,4.4,6.7,.649,1.3,4.4,5.7,5.9,1.6,1.2,3.2,2.5,23.2,,6.82
0,Kevin Love,UCLA,,39,38,29.6,5.8,10.4,.559,5.1,8.3,.611,0.7,2.1,.354,5.1,6.6,.767,3.6,7.0,10.6,1.9,0.7,1.4,2.0,1.9,17.5,,7.71
0,Zach LaVine,UCLA,,37,1,24.4,3.4,7.8,.441,2.1,4.3,.494,1.3,3.5,.375,1.3,1.8,.691,0.5,2.1,2.5,1.8,0.9,0.2,1.1,2.0,9.4,,7.62
0,Haywoode Workman,Oral Roberts,,85,82,35.9,6.3,14.8,.425,5.2,11.2,.461,1.1,3.6,.310,4.0,5.1,.788,,,5.2,4.4,2.9,0.1,2.7,3.0,17.7,,1.92
0,Sean Williams,Boston College,,69,15,20.5,2.0,3.5,.577,2.0,3.5,.577,0.0,0.0,,1.5,2.4,.605,1.6,2.6,4.2,0.6,0.6,2.8,1.2,2.7,5.5,,7.24
0,Mangok Mathiang,Louisville,,114,44,18.0,1.8,3.6,.506,1.8,3.6,.506,0.0,0.0,,1.2,1.9,.599,2.3,2.5,4.8,0.5,0.5,1.3,0.9,2.2,4.8,,8.17
0,Juan Dixon,Maryland,,141,107,28.4,5.7,12.1,.468,4.0,7.8,.513,1.7,4.4,.389,3.0,3.6,.850,,,4.2,2.6,2.4,0.2,2.5,2.0,16.1,,9.73
0,Mike Smith,Louisiana-Monroe,,55,52,35.2,6.4,15.0,.428,4.1,7.5,.537,2.4,7.4,.318,4.1,5.3,.769,,,8.2,2.7,1.6,0.8,4.4,1.5,19.3,,-5.55
0,Kenny Walker,Kentucky,,132,103,30.9,5.8,10.1,.571,,,,,,,4.2,5.6,.750,,,7.1,1.2,0.9,0.9,1.4,2.5,15.8,,9.96
0,Nick Young,USC,,96,90,31.1,5.8,11.9,.484,4.8,9.2,.518,1.0,2.7,.368,3.0,3.9,.764,1.7,3.3,5.1,1.4,0.8,0.3,2.1,2.5,15.5,,6.92
0,Bryon Russell,Long Beach State,,86,30,26.9,4.2,8.2,.513,3.8,7.2,.538,0.4,1.0,.344,2.9,4.2,.683,,,6.6,1.6,1.5,0.6,2.1,3.2,11.7,,3.01
0,Jason Lawson,Villanova,,131,131,29.1,4.1,7.0,.586,4.1,6.9,.587,0.0,0.0,.000,3.8,5.5,.692,,,6.9,1.4,0.7,2.9,2.6,3.5,11.9,,10.04
0,Andrew Harrison,Kentucky,,79,78,28.6,2.8,7.6,.372,1.9,5.2,.374,0.9,2.4,.367,3.6,4.6,.777,0.6,2.1,2.7,3.8,0.8,0.2,2.2,2.4,10.1,,9.28
0,Tim McCormick,Michigan,,90,55,25.2,3.4,6.1,.556,,,,,,,3.1,4.2,.737,,,5.3,0.8,0.3,0.6,1.6,2.9,9.8,,6.77
0,Julius Randle,Kentucky,,40,40,30.8,4.9,9.8,.501,4.8,9.3,.517,0.1,0.5,.167,5.1,7.2,.706,3.5,6.9,10.4,1.4,0.5,0.8,2.5,2.3,15.0,,9.90
0,Darnell Valentine,Kansas,,118,114,33.1,5.4,11.4,.476,,,,,,,4.6,6.4,.718,,,3.6,5.2,2.8,0.2,,3.5,15.4,,4.42
0,Charles Jenkins,Hofstra,,128,128,35.9,6.6,14.5,.456,5.2,10.8,.482,1.4,3.7,.382,5.0,6.2,.811,1.0,3.3,4.3,3.8,1.7,0.6,3.0,2.5,19.6,,-1.45
0,Keith Bogans,Kentucky,,135,122,29.0,5.0,11.4,.437,3.1,5.9,.527,1.9,5.5,.342,2.4,3.5,.688,,,4.1,2.3,1.1,0.1,2.3,2.0,14.2,,11.27
0,Bernard King*,Tennessee,,76,,,10.7,18.1,.590,,,,,,,4.5,6.2,.719,,,13.2,2.1,,,,3.7,25.8,,6.03
0,Malik Monk,Kentucky,,38,37,32.1,6.6,14.7,.450,3.9,7.8,.497,2.7,6.9,.397,3.9,4.7,.822,0.3,2.2,2.5,2.3,0.9,0.5,2.0,1.9,19.8,,10.49
0,Troy Caupain,Cincinnati,,137,102,29.1,3.2,8.0,.397,2.0,4.6,.438,1.1,3.3,.338,2.2,2.8,.762,0.5,3.1,3.6,3.8,1.1,0.2,1.6,1.5,9.6,,5.10
0,Milt Wagner,Louisville,,144,112,28.4,5.2,10.4,.500,,,.520,,,.500,2.3,2.9,.814,,,2.5,3.0,1.0,0.4,2.6,2.3,12.8,,8.21
0,JaKarr Sampson,St. John's (NY),,66,64,30.3,5.8,12.4,.469,5.8,12.2,.476,0.0,0.2,.077,2.2,3.7,.607,2.1,4.2,6.4,1.1,0.9,1.0,1.8,2.8,13.9,,6.86
0,Raef LaFrentz,Kansas,,131,131,27.5,6.3,11.3,.555,6.2,11.1,.560,0.1,0.3,.371,3.1,4.3,.712,,,9.1,0.7,0.7,1.1,2.0,2.5,15.8,,7.94
0,Ryan Stack,South Carolina,,120,60,21.2,2.3,4.8,.473,1.8,3.4,.517,0.5,1.4,.362,1.5,2.2,.690,,,4.2,0.8,0.5,1.0,1.7,2.0,6.5,,7.62
0,Jannero Pargo,Arkansas,,60,37,25.5,5.0,10.9,.455,2.2,4.3,.500,2.8,6.6,.425,1.7,2.0,.820,0.6,1.7,2.2,2.8,1.6,0.0,2.1,2.0,14.4,,8.15
0,Buck Johnson,Alabama,,122,109,33.9,6.0,11.1,.540,,,,,,,3.3,4.5,.739,,,7.6,1.3,1.0,0.9,2.6,3.0,15.3,,8.50
0,A.J. Guyton,Indiana,,128,122,34.0,5.8,12.8,.455,3.6,7.5,.484,2.2,5.3,.414,2.5,3.2,.790,,,3.4,3.1,1.0,0.4,2.3,1.3,16.4,,10.42
0,Derek Fisher,Little Rock,,112,104,32.6,3.9,9.3,.414,2.7,6.4,.429,1.1,2.9,.380,3.6,4.8,.747,,,4.4,4.2,1.6,0.1,2.4,2.6,12.4,,-2.35
0,Desmond Penigar,Utah State,,64,60,27.9,6.2,12.9,.478,5.3,10.5,.511,0.8,2.5,.335,3.3,4.6,.707,2.0,4.8,6.8,0.5,0.6,0.5,1.8,2.1,16.4,,-1.56
0,Melvin Newbern,Minnesota,,91,79,28.5,5.1,10.6,.478,4.6,9.4,.496,0.4,1.3,.342,2.8,3.9,.721,,,3.5,4.1,2.4,0.3,3.0,2.5,13.5,,9.07
0,Tyus Edney,UCLA,,125,97,29.3,3.9,8.1,.481,3.1,6.0,.513,0.8,2.0,.383,3.6,4.5,.805,,,3.0,5.2,1.8,0.1,2.7,2.2,12.1,,8.91
0,Frank Kornet,Vanderbilt,,117,,20.6,3.2,6.0,.534,,,.543,,,.333,1.5,2.4,.642,,,4.5,0.8,0.6,0.2,1.1,2.0,8.0,,8.51
0,Tony Snell,New Mexico,,104,76,24.8,3.0,7.1,.421,1.4,2.9,.480,1.6,4.2,.380,1.6,1.9,.821,0.4,2.0,2.4,2.0,0.5,0.3,1.5,1.2,9.2,,4.95
0,Scot Pollard,Kansas,,128,62,21.5,3.3,6.0,.549,3.3,6.0,.549,0.0,0.0,1.000,2.8,4.2,.669,,,6.6,0.5,0.8,1.7,1.5,2.6,9.4,,8.45
0,Miles Plumlee,Duke,,135,58,15.8,1.9,3.5,.557,1.9,3.5,.557,0.0,0.0,1.000,0.9,1.5,.625,1.8,3.0,4.8,0.3,0.5,0.6,1.0,2.3,4.8,,8.75
0,Cuonzo Martin,Purdue,,127,102,28.9,4.6,9.7,.472,3.2,6.5,.483,1.4,3.1,.451,2.6,3.3,.777,,,3.8,2.0,0.6,0.1,1.7,1.4,13.1,,8.96
0,Art Long,Cincinnati,,65,62,26.1,4.5,9.3,.489,4.5,9.1,.495,0.0,0.1,.111,1.4,2.6,.556,,,8.1,0.9,0.6,1.6,1.6,3.4,10.5,,8.31
0,Brendan Haywood,UNC,,141,100,23.5,3.8,6.0,.637,3.8,6.0,.637,0.0,0.0,,2.3,4.0,.591,,,6.0,0.8,0.3,2.2,1.6,2.4,10.0,,11.05
0,Darvin Ham,Texas Tech,,90,60,22.9,3.2,5.4,.597,3.2,5.4,.598,0.0,0.0,.000,1.6,3.3,.498,,,5.1,1.0,0.8,0.2,1.5,2.7,8.1,,1.51
0,Byron Houston,Oklahoma State,,127,124,32.4,6.5,11.8,.552,6.3,11.1,.569,0.2,0.7,.281,5.5,7.5,.729,,,9.4,1.6,1.3,1.8,3.0,3.4,18.7,,8.34
0,Erick Dampier,Mississippi State,,93,89,28.4,5.2,8.8,.587,5.2,8.8,.587,0.0,0.0,,2.9,5.1,.566,,,9.2,1.4,0.6,2.7,2.6,2.9,13.2,,8.21
0,Shelden Williams,Duke,,139,128,28.1,4.9,8.6,.572,4.9,8.6,.574,0.0,0.1,.333,4.0,5.7,.694,3.2,5.9,9.1,0.9,1.2,3.0,2.3,3.1,13.9,,9.51
0,Jarrett Jack,Georgia Tech,,101,100,32.3,4.0,8.4,.478,3.1,5.9,.530,0.9,2.6,.359,3.6,4.5,.796,0.4,4.0,4.5,5.4,1.8,0.1,3.3,2.0,12.5,,9.64
0,DeAndre Jordan,Texas A&M,,35,21,20.1,3.2,5.2,.617,3.2,5.2,.617,0.0,0.0,,1.5,3.4,.437,1.9,4.1,6.0,0.4,0.2,1.3,1.6,1.9,7.9,,7.46
0,Mike Dunleavy,South Carolina,,111,,33.9,5.5,11.4,.484,,,,,,,3.2,4.0,.798,,,3.1,3.3,,0.1,,2.5,14.3,,2.55
0,Marcus Paige,UNC,,141,139,32.4,4.2,10.4,.407,2.1,4.8,.446,2.1,5.7,.375,2.5,2.9,.844,0.4,2.4,2.8,4.3,1.4,0.2,1.9,1.7,13.1,,9.72
0,Antoine Walker,Kentucky,,69,37,21.0,4.7,10.4,.449,4.3,8.9,.482,0.4,1.5,.252,1.9,2.9,.660,,,6.5,2.2,1.3,0.5,2.1,2.1,11.7,,9.85
0,Reece Gaines,Louisville,,125,123,31.6,5.1,11.2,.452,3.3,6.5,.502,1.8,4.7,.383,3.6,4.9,.750,,,3.4,3.8,1.5,0.2,2.7,2.5,15.6,,7.91
0,Chucky Brown,NC State,,128,73,23.5,4.3,7.8,.557,,,.574,,,.250,1.9,2.8,.667,,,5.3,0.7,0.5,0.5,1.1,1.6,10.6,,8.04
0,Jordan Bone,Tennessee,,95,87,26.1,3.6,8.4,.424,2.6,5.7,.458,1.0,2.7,.353,1.6,2.0,.817,0.3,2.1,2.4,4.3,0.7,0.1,1.6,1.2,9.7,,10.15
0,Frank Kaminsky,Wisconsin,,144,79,20.4,3.7,7.0,.522,3.0,5.1,.580,0.7,1.9,.369,2.1,2.7,.763,1.3,3.4,4.6,1.3,0.5,1.1,0.8,1.6,10.1,,9.61
0,Ryan Reid,Florida State,,126,66,20.2,1.9,3.8,.495,1.9,3.8,.494,0.0,0.0,1.000,1.2,2.0,.604,1.7,2.2,3.9,0.7,0.5,0.6,1.6,1.9,5.0,,7.66
0,Andre Ingram,American,,118,117,33.2,4.7,12.1,.393,2.5,6.2,.401,2.2,5.8,.385,2.3,2.9,.787,0.9,3.6,4.5,1.7,1.0,0.1,1.8,1.7,14.0,,-5.01
0,Ed Stokes,Arizona,,121,54,20.8,3.1,6.0,.515,3.1,6.0,.515,0.0,0.0,,1.9,3.1,.624,,,5.3,0.5,0.5,1.4,1.4,2.7,8.1,,8.80
0,Sean Marks,California,,86,33,17.0,2.5,5.1,.487,2.4,4.8,.493,0.1,0.3,.400,1.4,2.1,.669,,,4.4,0.5,0.6,0.8,1.5,2.0,6.5,,8.35
0,Elden Campbell,Clemson,,123,85,26.0,6.1,10.9,.562,6.1,10.8,.564,0.0,0.1,.300,3.0,4.7,.641,,,6.8,0.9,1.1,2.7,2.2,2.9,15.3,,6.10
0,Patrick Patterson,Kentucky,,97,97,34.0,6.4,10.9,.585,6.1,10.1,.604,0.2,0.8,.329,3.2,4.3,.734,2.9,5.3,8.2,1.5,0.7,1.6,1.6,2.1,16.1,,6.24
0,Robert Williams,Florida Atlantic,,122,59,19.7,2.7,5.6,.487,2.7,5.6,.487,0.0,0.0,,1.2,2.1,.551,2.2,2.5,4.7,0.4,0.4,0.6,1.2,2.9,6.6,,-5.22
0,Luke Kornet,Vanderbilt,,128,76,24.1,3.0,7.2,.417,1.8,3.5,.519,1.2,3.7,.320,1.7,2.2,.779,1.2,3.6,4.8,1.1,0.4,1.6,1.1,2.0,8.9,,8.03
0,Michael Ruffin,Tulsa,,128,115,29.3,3.1,5.9,.530,3.1,5.9,.535,0.0,0.1,.000,3.2,5.6,.570,,,9.5,1.2,1.2,2.1,2.5,2.8,9.4,,3.63
0,Dwight Buycks,Marquette,,68,40,26.0,2.9,6.4,.443,2.1,4.2,.486,0.8,2.2,.360,1.2,1.7,.687,0.8,2.3,3.0,2.8,1.1,0.0,2.0,1.6,7.7,,8.37
0,Richard Jefferson,Arizona,,84,77,26.3,4.0,8.1,.490,3.3,6.2,.528,0.7,1.9,.368,2.5,3.5,.718,,,5.0,2.8,0.6,0.8,2.7,2.6,11.2,,10.19
0,Dean Wade,Kansas State,,126,123,29.3,4.3,8.7,.498,3.3,6.1,.547,1.0,2.6,.386,2.3,3.2,.711,1.7,3.7,5.4,2.1,0.9,0.6,1.2,2.3,12.0,,9.55
0,Terrel Harris,Oklahoma State,,134,89,26.4,3.3,7.5,.440,2.1,4.3,.494,1.1,3.1,.366,2.1,2.6,.815,1.1,2.8,3.8,1.5,1.3,0.2,2.1,2.9,9.8,,7.03
0,Bobby Jackson,Minnesota,,60,67,29.7,5.1,11.9,.427,4.1,8.7,.471,1.0,3.2,.307,3.3,4.1,.786,,,5.5,3.5,1.8,0.3,2.3,2.8,14.4,,8.06
0,Dennis Hopson,Ohio State,,125,96,28.9,6.4,12.3,.519,,,.550,,,.419,3.5,4.4,.793,,,5.7,2.1,1.3,0.5,2.2,1.8,16.8,,8.58
0,Reggie Williams,Georgetown,,138,75,29.2,5.9,12.0,.490,,,.532,,,.386,3.1,4.0,.768,,,6.4,2.4,1.5,0.5,2.3,2.7,15.3,,6.58
0,Keith Owens,UCLA,,97,8,13.2,1.2,2.1,.556,1.2,2.1,.561,0.0,0.0,.000,0.8,1.1,.721,,,3.0,0.6,0.4,0.9,0.8,1.4,3.2,,8.61
0,Dion Glover,Georgia Tech,,33,33,35.2,6.7,15.2,.441,5.4,10.2,.525,1.4,5.0,.271,3.6,5.6,.640,,,5.0,2.6,2.1,0.2,3.6,2.0,18.4,,8.70
0,Brandon Armstrong,Pepperdine,,65,64,30.4,6.6,15.1,.439,4.4,9.5,.467,2.2,5.6,.391,2.7,3.2,.824,,,3.2,1.5,1.7,0.2,1.9,2.6,18.1,,2.56
0,Rashad McCants,UNC,,98,90,29.2,6.3,12.9,.486,4.0,7.4,.538,2.3,5.4,.415,2.8,3.8,.721,1.5,2.6,4.1,2.1,1.5,0.6,2.2,2.4,17.6,,11.00
0,Jason Smith,Colorado State,,87,70,27.9,5.2,9.6,.548,5.1,9.3,.556,0.1,0.3,.308,4.1,5.5,.751,2.6,5.3,7.9,2.0,0.5,1.7,3.1,3.3,14.7,,3.95
0,Lester Hudson,UT-Martin,,65,64,36.5,9.3,20.4,.456,5.8,10.8,.530,3.5,9.5,.372,4.4,5.2,.858,2.2,5.7,7.9,4.4,2.6,0.6,3.6,2.7,26.6,,-5.64
0,Trenton Hassell,Austin Peay,,84,57,36.2,6.9,14.6,.471,5.4,10.4,.523,1.5,4.2,.345,4.1,5.3,.779,,,8.2,4.5,1.1,0.7,3.4,1.5,19.4,,-3.83
0,Bobby Simmons,DePaul,,93,92,31.6,4.3,10.1,.428,3.0,6.2,.490,1.3,3.9,.331,3.6,4.6,.783,,,7.5,2.2,1.3,0.2,2.5,2.9,13.6,,7.91
0,Darius Johnson-Odom,Marquette,,105,90,30.8,5.3,12.0,.444,3.2,6.7,.476,2.1,5.2,.403,3.0,4.1,.722,0.5,2.5,3.1,2.5,0.9,0.2,2.1,2.3,15.7,,8.08
0,Duje Dukan,Wisconsin,,97,0,10.0,1.1,2.6,.427,0.6,1.2,.544,0.5,1.4,.328,0.4,0.7,.656,0.5,1.2,1.7,0.4,0.1,0.0,0.4,0.9,3.1,,9.53
0,Brandon Knight,Kentucky,,38,38,35.9,5.7,13.5,.423,3.4,7.4,.461,2.3,6.1,.377,3.6,4.5,.795,0.7,3.4,4.0,4.2,0.7,0.2,3.2,2.2,17.3,,8.91
0,Mike Conley,Ohio State,,39,39,31.6,4.1,7.9,.518,3.6,6.2,.579,0.5,1.8,.304,2.6,3.7,.694,0.7,2.7,3.4,6.1,2.2,0.3,2.2,1.5,11.3,,9.03
0,Chris Carr,Southern Illinois,,93,62,25.5,4.9,9.8,.503,4.2,7.9,.539,0.7,1.9,.358,2.9,3.8,.761,,,5.8,1.5,1.0,0.7,2.0,2.5,13.5,,1.95
0,John Morton,Seton Hall,,131,107,26.2,4.1,9.1,.453,,,.473,,,.391,3.5,4.5,.771,,,2.4,3.5,1.6,0.4,3.0,2.7,12.4,,6.61
0,Howard Wright,Stanford,,124,55,30.4,4.8,8.6,.553,,,.577,,,.000,3.3,5.3,.630,,,6.9,1.6,0.8,1.0,,,12.9,,6.05
0,C.J. Williams,Boise State,,108,56,23.9,1.7,4.4,.388,1.1,2.5,.444,0.6,1.9,.312,1.2,2.0,.571,,,1.9,2.3,0.9,0.0,2.0,2.0,5.2,,-0.15
0,Milt Palacio,Colorado State,,88,88,33.1,4.1,8.8,.466,3.2,6.2,.510,0.9,2.6,.361,3.0,4.1,.715,,,4.2,4.8,1.7,0.1,3.0,2.2,12.1,,2.08
0,A.J. Hammons,Purdue,,132,95,24.3,4.6,8.6,.539,4.6,8.4,.544,0.0,0.2,.261,2.7,4.0,.690,2.4,4.7,7.0,0.8,0.4,2.6,2.1,2.5,12.1,,7.64
0,Mark Strickland,Temple,,95,30,29.6,3.2,6.4,.509,3.2,6.3,.512,0.0,0.0,.000,1.0,2.3,.414,,,6.1,0.2,0.9,1.9,,,7.5,,6.23
0,Dwayne Jones,St. Joseph's,,98,69,28.1,2.5,4.8,.522,2.5,4.8,.522,0.0,0.0,,2.1,4.3,.484,3.1,5.4,8.5,0.7,0.4,2.4,1.4,2.5,7.1,,4.00
0,Tharon Mayes,Florida State,,77,68,29.9,6.1,12.2,.495,4.4,7.9,.559,1.7,4.4,.380,2.6,3.3,.784,,,2.8,2.8,1.7,0.1,2.6,2.9,16.4,,4.08
0,Greg Sutton,Oral Roberts,,28,27,33.4,7.6,20.1,.379,4.7,11.2,.419,3.0,9.0,.331,3.7,5.6,.656,,,4.3,3.2,1.6,0.5,3.9,3.7,21.9,,6.55
0,Dijon Thompson,UCLA,,117,72,27.8,4.6,10.0,.464,3.5,6.8,.510,1.1,3.1,.362,2.1,2.7,.781,1.4,3.3,4.7,2.0,1.1,0.3,2.4,1.8,12.5,,8.61
0,Les Jepsen,Iowa,,102,30,16.1,2.2,3.7,.585,2.2,3.7,.589,0.0,0.0,.250,1.6,2.6,.600,,,5.0,0.7,0.3,0.6,1.3,1.6,5.9,,9.74
